File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd_ui.o,66.214668%,21388,2936,1076,20312,0,2936
sc_log.o,3.848178%,1243,459,1202,10,31,428
segger_rtt_printf.o,3.442618%,1112,0,1096,16,0,0
st7789.o,3.250673%,1050,20,1050,0,0,20
segger_rtt.o,2.303334%,744,1225,710,17,17,1208
stm32f4xx_usart.o,2.123773%,686,0,686,0,0,0
stm32f4xx_dma.o,2.080431%,672,0,672,0,0,0
bsp_uart.o,2.068048%,668,260,664,0,4,256
mcu_spi.o,1.609857%,520,0,520,0,0,0
command.o,1.473639%,476,0,432,44,0,0
stm32f4xx_flash.o,1.355995%,438,0,438,0,0,0
startup_stm32f40xx.o,1.325036%,428,1024,36,392,0,1024
stm32f4xx_rcc.o,1.263119%,408,16,392,0,16,0
system_stm32f4xx.o,1.114517%,360,20,340,0,20,0
mcu_flash.o,1.034024%,334,0,334,0,0,0
stm32f4xx_gpio.o,0.804929%,260,0,260,0,0,0
mc_w.l,0.749203%,242,0,242,0,0,0
stm32f4xx_tim.o,0.662518%,214,0,214,0,0,0
lcd_driver.o,0.507724%,164,16,148,0,16,0
misc.o,0.495341%,160,0,160,0,0,0
time_tick.o,0.482957%,156,4,152,0,4,0
board.o,0.451998%,146,0,146,0,0,0
main.o,0.408656%,132,12,132,0,0,12
memseta.o,0.111452%,36,0,36,0,0,0
memcpya.o,0.111452%,36,0,36,0,0,0
init.o,0.111452%,36,0,36,0,0,0
c_unit.o,0.099068%,32,0,32,0,0,0
handlers.o,0.092876%,30,0,30,0,0,0
strcmp.o,0.086685%,28,0,28,0,0,0
stm32f4xx_it.o,0.080493%,26,0,26,0,0,0
strncpy.o,0.074301%,24,0,24,0,0,0
strcpy.o,0.055726%,18,0,18,0,0,0
strlen.o,0.043342%,14,0,14,0,0,0
entry9a.o,0.024767%,8,0,8,0,0,0
entry2.o,0.024767%,8,0,8,0,0,0
entry5.o,0.012384%,4,0,4,0,0,0
