File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lcd_ui.o,48.998665%,2936,21388,1076,20312,0,2936
segger_rtt.o,20.443926%,1225,744,710,17,17,1208
startup_stm32f40xx.o,17.089453%,1024,428,36,392,0,1024
sc_log.o,7.660213%,459,1243,1202,10,31,428
bsp_uart.o,4.339119%,260,668,664,0,4,256
system_stm32f4xx.o,0.333778%,20,360,340,0,20,0
st7789.o,0.333778%,20,1050,1050,0,0,20
stm32f4xx_rcc.o,0.267023%,16,408,392,0,16,0
lcd_driver.o,0.267023%,16,164,148,0,16,0
main.o,0.200267%,12,132,132,0,0,12
time_tick.o,0.066756%,4,156,152,0,4,0
